box,month,year,pollen,bird,temp
1,1,2004,29,30,15.47580645
1,2,2004,55,10,17.71428571
1,3,2004,86,13,19
1,4,2004,48,8,19.98333333
1,5,2004,24,4,24.38709677
1,6,2004,18,4,27.61666667
1,7,2004,18,4,27.33870968
1,8,2004,8,9,27.39516129
1,9,2004,12,18,27.025
1,10,2004,12,24,24.5
1,11,2004,16,6,21.08333333
1,12,2004,7,2,16.37903226
1,1,2005,13,17,16.65322581
1,2,2005,7,21,17.04464286
1,3,2005,25,17,18.54032258
1,4,2005,44,32,20.01666667
1,5,2005,22,9,23.98387097
1,6,2005,14,5,26.40833333
1,7,2005,5,9,28.39516129
1,8,2005,10,14,28.46774194
1,9,2005,23,17,27.2
1,10,2005,12,21,24.4516129
1,11,2005,12,19,21.1
1,12,2005,9,16,15.97580645
1,1,2006,13,20,17.19354839
1,2,2006,24,12,16.14285714
1,3,2006,37,22,18.86290323
1,4,2006,23,22,22.65
1,5,2006,16,3,24.14516129
1,6,2006,11,2,26.90833333
1,7,2006,15,13,27.24193548
1,8,2006,5,4,27.74193548
1,9,2006,6,16,26.7
1,10,2006,20,32,23.33870968
1,11,2006,10,11,18.80833333
1,12,2006,6,9,20.14516129
1,1,2007,12,10,18.59677419
1,2,2007,25,12,15.33035714
1,3,2007,53,23,19.99193548
1,4,2007,25,15,21.10833333
1,5,2007,16,7,23.98387097
1,6,2007,11,3,26.275
1,7,2007,14,7,27.78225806
1,8,2007,10,2,28.47580645
1,9,2007,15,11,27.275
1,10,2007,17,20,26.28225806
1,11,2007,11,15,19.98333333
1,12,2007,14,14,19.99193548
1,1,2008,14,16,16.7016129
1,2,2008,20,20,20.17857143
1,3,2008,29,19,18.77419355
1,4,2008,26,19,21.61666667
1,5,2008,18,11,24.76612903
1,6,2008,10,19,27.125
1,7,2008,14,18,27.19354839
1,8,2008,8,7,27.49193548
1,9,2008,11,17,27.38333333
1,10,2008,17,50,23.86290323
1,11,2008,11,37,17.40833333
1,12,2008,8,31,18.15322581
1,1,2009,17,21,15.64516129
1,2,2009,23,9,15.30357143
1,3,2009,52,17,19.33870968
1,4,2009,37,39,21.65833333
1,5,2009,21,19,25.41935484
1,6,2009,17,14,27.375
1,7,2009,16,15,27.86290323
1,8,2009,19,17,28.5
1,9,2009,15,24,27.74166667
1,10,2009,13,59,25.21774194
1,11,2009,10,30,20.99166667
1,12,2009,13,12,17.44354839
1,1,2010,13,45,12.08064516
1,2,2010,22,77,12.72321429
1,3,2010,41,101,14.80645161
1,4,2010,82,47,21.275
1,5,2010,28,12,25.86290323
1,6,2010,21,27,28.38333333
1,7,2010,12,41,28.33064516
1,8,2010,14,45,28.5
1,9,2010,23,109,27.4
1,10,2010,18,122,22.98387097
1,11,2010,21,86,19.55
1,12,2010,11,102,11.32258065
1,1,2011,25,102,15.11290323
1,2,2011,45,84,18.10714286
1,3,2011,76,93,19.54032258
1,4,2011,43,104,23.73333333
1,5,2011,26,40,24.68548387
1,6,2011,15,41,27.06666667
1,7,2011,13,73,27.75806452
1,8,2011,16,60,28.36290323
1,9,2011,18,64,27.125
1,10,2011,21,93,22.82258065
1,11,2011,19,76,20.81666667
1,12,2011,13,42,18.59677419
1,1,2012,19,9,15.82258065
1,2,2012,44,5,19.38392857
1,3,2012,76,6,21.61290323
1,4,2012,48,15,21.78333333
1,5,2012,24,8,25.13709677
1,6,2012,23,5,26.18333333
1,7,2012,17,26,27.35483871
1,8,2012,19,19,27.67741935
1,9,2012,26,30,26.7
1,10,2012,26,41,24.94354839
1,11,2012,24,28,17.43333333
1,12,2012,20,25,18.73387097
1,1,2013,41,7,19.01612903
1,2,2013,46,85,18.1875
1,3,2013,53,20,15.51612903
1,4,2013,50,154,23.025
1,5,2013,31,67,23.52419355
1,6,2013,24,35,26.88333333
1,7,2013,28,34,26.97580645
1,8,2013,24,99,27.88709677
1,9,2013,26,57,26.59166667
1,10,2013,30,116,24.50806452
1,11,2013,23,6,22.025
1,12,2013,19,0,20.39516129
1,1,2014,22,13,15.33064516
1,2,2014,46,11,19.44642857
1,3,2014,92,181,19.28225806
1,4,2014,65,136,21.8
1,5,2014,38,18,24.70967742
1,6,2014,23,28,26.51666667
1,7,2014,21,90,27.68548387
1,8,2014,20,48,28.34677419
1,9,2014,20,42,26.88333333
1,10,2014,25,82,23.82258065
1,11,2014,18,3,18.39166667
1,12,2014,22,10,17.90322581
1,1,2015,30,2,17.49193548
1,2,2015,41,104,15.66071429
1,3,2015,92,6,22.36290323
1,4,2015,53,69,24.59166667
1,5,2015,40,65,25.18548387
1,6,2015,26,35,27.34166667
1,7,2015,21,123,27.73387097
1,8,2015,19,124,28.06451613
1,9,2015,22,167,27.54166667
1,10,2015,27,153,24.91129032
1,11,2015,24,213,24.06666667
1,12,2015,17,1,22.52419355
1,1,2016,18,74,15.94354839
1,2,2016,40,38,16.4375
1,3,2016,94,87,20.91935484
1,4,2016,63,121,22.21666667
1,5,2016,32,189,24.59677419
1,6,2016,20,108,27.39166667
1,7,2016,17,6,28.66935484
1,8,2016,16,87,28.51612903
1,9,2016,21,121,27.775
1,10,2016,24,127,24.76612903
1,11,2016,24,70,20.19166667
1,12,2016,21,46,21.53225806
2,1,2004,0,0,1.467741935
2,2,2004,0,0,2.455357143
2,3,2004,5,0,9.338709677
2,4,2004,45,16,13.44166667
2,5,2004,4,42,20.67741935
2,6,2004,11,41,22.65
2,7,2004,8,38,24.50806452
2,8,2004,10,36,22.80645161
2,9,2004,6,23,20.675
2,10,2004,10,0,14.88709677
2,11,2004,3,0,11.09166667
2,12,2004,0,0,4.217741935
2,1,2005,3,0,4.653225806
2,2,2005,5,0,4.883928571
2,3,2005,10,0,6.370967742
2,4,2005,29,24,13.66666667
2,5,2005,5,50,16.52419355
2,6,2005,8,54,22.44166667
2,7,2005,2,53,26.33870968
2,8,2005,4,44,25.51612903
2,9,2005,12,31,23.08333333
2,10,2005,9,0,15.65322581
2,11,2005,2,0,9.775
2,12,2005,4,0,3.14516129
2,1,2006,0,0,6.85483871
2,2,2006,3,0,4.401785714
2,3,2006,7,0,8.838709677
2,4,2006,30,3,15.9
2,5,2006,15,3,16.70967742
2,6,2006,9,2,22.65833333
2,7,2006,4,1,25.24193548
2,8,2006,8,1,26.07258065
2,9,2006,4,0,19.73333333
2,10,2006,5,0,12.95967742
2,11,2006,1,0,9.733333333
2,12,2006,4,0,7.048387097
2,1,2007,1,0,5.806451613
2,2,2007,2,0,1.455357143
2,3,2007,28,0,10.55645161
2,4,2007,26,2,13.025
2,5,2007,3,4,18.5
2,6,2007,4,8,23.25
2,7,2007,5,0,24.47580645
2,8,2007,3,2,27.24193548
2,9,2007,6,4,22.425
2,10,2007,5,0,17.78225806
2,11,2007,4,0,8.833333333
2,12,2007,4,0,6.685483871
2,1,2008,5,0,3.370967742
2,2,2008,3,0,6.330357143
2,3,2008,12,0,8.943548387
2,4,2008,29,1,13.46666667
2,5,2008,20,5,16.88709677
2,6,2008,7,7,24.31666667
2,7,2008,5,0,24.72580645
2,8,2008,4,2,23.7016129
2,9,2008,7,14,21.29166667
2,10,2008,9,5,14.35483871
2,11,2008,3,0,7.691666667
2,12,2008,3,0,5.532258065
2,1,2009,2,0,1.935483871
2,2,2009,7,0,4.723214286
2,3,2009,15,0,8.39516129
2,4,2009,34,7,13.76666667
2,5,2009,17,6,18.93548387
2,6,2009,10,7,23.24166667
2,7,2009,5,7,23.62903226
2,8,2009,9,3,25.56451613
2,9,2009,5,5,20.575
2,10,2009,5,0,13.80645161
2,11,2009,4,0,10.875
2,12,2009,4,0,3.588709677
2,1,2010,5,0,2.080645161
2,2,2010,4,0,1.339285714
2,3,2010,13,0,9.475806452
2,4,2010,100,43,15.975
2,5,2010,22,79,20.02419355
2,6,2010,6,36,25.89166667
2,7,2010,5,56,26.58870968
2,8,2010,6,117,25.66129032
2,9,2010,10,113,22.65833333
2,10,2010,6,18,15.66129032
2,11,2010,4,0,8.725
2,12,2010,5,0,0.459677419
2,1,2011,12,0,1.637096774
2,2,2011,11,0,5.6875
2,3,2011,30,0,9.39516129
2,4,2011,41,111,15.25
2,5,2011,19,97,18.81451613
2,6,2011,10,118,24.68333333
2,7,2011,4,98,26.62096774
2,8,2011,8,173,25.5483871
2,9,2011,9,180,21.38333333
2,10,2011,9,26,14.32258065
2,11,2011,4,0,10.28333333
2,12,2011,5,0,6.806451613
2,1,2012,5,0,5.024193548
2,2,2012,12,0,6.008928571
2,3,2012,51,0,13.08870968
2,4,2012,36,6,13.85833333
2,5,2012,19,14,19.9516129
2,6,2012,10,10,21.99166667
2,7,2012,8,57,27.52419355
2,8,2012,7,58,24.4516129
2,9,2012,11,85,20.96666667
2,10,2012,9,7,15.27419355
2,11,2012,8,0,6.975
2,12,2012,7,0,7.411290323
2,1,2013,7,0,4.677419355
2,2,2013,9,0,3.875
2,3,2013,16,0,5.475806452
2,4,2013,72,177,14.225
2,5,2013,24,248,17.33870968
2,6,2013,11,124,23.375
2,7,2013,6,76,25.27419355
2,8,2013,8,327,23.06451613
2,9,2013,15,176,20.48333333
2,10,2013,7,3,15.24193548
2,11,2013,7,0,8.083333333
2,12,2013,8,0,5.725806452
2,1,2014,6,0,0.459677419
2,2,2014,10,0,4.071428571
2,3,2014,21,0,5.314516129
2,4,2014,69,205,13.60833333
2,5,2014,33,70,19.31451613
2,6,2014,9,74,23.80833333
2,7,2014,6,283,24.5
2,8,2014,7,162,22.80645161
2,9,2014,10,90,21.45
2,10,2014,7,3,15.78225806
2,11,2014,5,0,6.741666667
2,12,2014,7,0,6.129032258
2,1,2015,8,0,2.975806452
2,2,2015,6,0,0.098214286
2,3,2015,24,0,8.032258065
2,4,2015,67,109,14.44166667
2,5,2015,28,218,20.08870968
2,6,2015,10,120,24.66666667
2,7,2015,8,410,25.2983871
2,8,2015,7,465,24.23387097
2,9,2015,12,391,21.69166667
2,10,2015,7,82,14.90322581
2,11,2015,6,26,11.425
2,12,2015,8,0,10.73387097
2,1,2016,5,0,2.10483871
2,2,2016,7,0,4.741071429
2,3,2016,45,1,12.19354839
2,4,2016,43,215,13.88333333
2,5,2016,23,399,17.86290323
2,6,2016,9,246,23.04166667
2,7,2016,8,12,26.21774194
2,8,2016,7,312,26.34677419
2,9,2016,9,268,23.78333333
2,10,2016,9,79,16.86290323
2,11,2016,5,0,10.53333333
2,12,2016,6,0,6.411290323
3,1,2004,0,0,-13.91129032
3,2,2004,0,0,-8.767857143
3,3,2004,51,0,-2.048387097
3,4,2004,0,0,3.608333333
3,5,2004,36,24,11.50806452
3,6,2004,0,7,13.80833333
3,7,2004,0,32,17.44354839
3,8,2004,40,21,17.80645161
3,9,2004,0,7,14.45833333
3,10,2004,37,0,7.483870968
3,11,2004,0,0,1.008333333
3,12,2004,0,0,-6.60483871
3,1,2005,0,0,-10.86290323
3,2,2005,0,0,-7.017857143
3,3,2005,25,0,-4.951612903
3,4,2005,0,0,5.05
3,5,2005,0,33,7.838709677
3,6,2005,31,30,17.39166667
3,7,2005,0,19,19.60483871
3,8,2005,0,28,18.54032258
3,9,2005,25,22,15.55833333
3,10,2005,0,0,8.298387097
3,11,2005,24,0,1.408333333
3,12,2005,22,0,-5.338709677
3,1,2006,0,0,-4.911290323
3,2,2006,0,0,-6.955357143
3,3,2006,18,0,-2.870967742
3,4,2006,96,0,5.666666667
3,5,2006,18,15,11.0483871
3,6,2006,58,11,17.15833333
3,7,2006,0,13,20.51612903
3,8,2006,18,22,16.67741935
3,9,2006,17,3,13.45833333
3,10,2006,15,0,7.112903226
3,11,2006,15,0,3.75
3,12,2006,0,0,-1.298387097
3,1,2007,0,0,-7.669354839
3,2,2007,14,0,-12.03571429
3,3,2007,13,0,-3.943548387
3,4,2007,27,0,2.616666667
3,5,2007,25,29,10.78225806
3,6,2007,15,20,16.16666667
3,7,2007,0,5,17.52419355
3,8,2007,14,14,17.72580645
3,9,2007,39,6,14.625
3,10,2007,12,0,10.01612903
3,11,2007,0,0,-0.2
3,12,2007,11,0,-7.362903226
3,1,2008,11,0,-7.137096774
3,2,2008,21,0,-7.178571429
3,3,2008,0,0,-5.322580645
3,4,2008,21,0,4.791666667
3,5,2008,51,29,9.548387097
3,6,2008,11,33,16.21666667
3,7,2008,0,19,19.2983871
3,8,2008,0,23,17.0483871
3,9,2008,20,11,13.98333333
3,10,2008,9,0,7.459677419
3,11,2008,10,0,1.316666667
3,12,2008,0,0,-6.225806452
3,1,2009,9,0,-13.04032258
3,2,2009,19,0,-8.241071429
3,3,2009,17,0,-3.233870968
3,4,2009,9,1,5.566666667
3,5,2009,63,29,10.41935484
3,6,2009,37,17,14.45
3,7,2009,18,6,16.74193548
3,8,2009,9,2,18.69354839
3,9,2009,9,3,12.95
3,10,2009,8,0,5.39516129
3,11,2009,0,0,3.641666667
3,12,2009,0,0,-5.427419355
3,1,2010,8,0,-6.629032258
3,2,2010,16,0,-5.401785714
3,3,2010,29,0,1.306451613
3,4,2010,32,1,6.816666667
3,5,2010,9,106,12.27419355
3,6,2010,65,114,15.775
3,7,2010,27,110,20.63709677
3,8,2010,17,140,17.80645161
3,9,2010,25,69,14.7
3,10,2010,8,0,7.5
3,11,2010,8,0,1.366666667
3,12,2010,0,0,-5.669354839
3,1,2011,14,0,-8.975806452
3,2,2011,10,0,-9.142857143
3,3,2011,14,0,-3.548387097
3,4,2011,10,5,3.625
3,5,2011,45,223,11.41935484
3,6,2011,60,100,15.90833333
3,7,2011,30,103,19.72580645
3,8,2011,0,114,18.29032258
3,9,2011,51,89,15.125
3,10,2011,13,0,8.903225806
3,11,2011,22,0,3.233333333
3,12,2011,4,0,-2.419354839
3,1,2012,8,0,-7.338709677
3,2,2012,8,0,-5.25
3,3,2012,31,0,0.85483871
3,4,2012,25,0,5.525
3,5,2012,20,47,11.66935484
3,6,2012,46,21,15.46666667
3,7,2012,12,29,19.7016129
3,8,2012,30,70,19.5483871
3,9,2012,15,58,13.61666667
3,10,2012,20,1,8.838709677
3,11,2012,7,1,1.508333333
3,12,2012,8,0,-3.459677419
3,1,2013,19,0,-9.274193548
3,2,2013,14,0,-6.535714286
3,3,2013,10,0,-1.879032258
3,4,2013,13,0,3.241666667
3,5,2013,47,283,11.03225806
3,6,2013,61,120,16.55
3,7,2013,13,63,20.41935484
3,8,2013,43,277,17.54032258
3,9,2013,19,81,13.875
3,10,2013,40,0,8.870967742
3,11,2013,10,0,-0.025
3,12,2013,3,0,-7.35483871
3,1,2014,6,0,-10.58064516
3,2,2014,7,0,-8.607142857
3,3,2014,9,0,-8.387096774
3,4,2014,28,0,3.458333333
3,5,2014,38,78,11.06451613
3,6,2014,42,123,15.86666667
3,7,2014,7,248,19.38709677
3,8,2014,25,175,17.56451613
3,9,2014,14,45,13.55
3,10,2014,13,1,9.25
3,11,2014,14,0,0.491666667
3,12,2014,7,0,-3.241935484
3,1,2015,13,0,-11.5483871
3,2,2015,14,0,-15.04464286
3,3,2015,19,0,-6.741935484
3,4,2015,20,0,2.65
3,5,2015,100,364,13.2016129
3,6,2015,89,276,14.35
3,7,2015,29,353,17.98387097
3,8,2015,27,327,18.91935484
3,9,2015,32,127,16.275
3,10,2015,32,1,6.362903226
3,11,2015,15,0,3.016666667
3,12,2015,24,0,-0.443548387
3,1,2016,24,0,-7.241935484
3,2,2016,22,0,-6.178571429
3,3,2016,28,0,-1.387096774
3,4,2016,25,3,2.875
3,5,2016,52,472,10.71774194
3,6,2016,81,377,15.65833333
3,7,2016,26,19,19.10483871
3,8,2016,24,320,19.19354839
3,9,2016,31,156,15.53333333
3,10,2016,12,0,8.330645161
3,11,2016,0,3,2.683333333
3,12,2016,12,0,-6.024193548